person	number	level1	level2	level3	misc
Duke Raleigh Outpatient Imaging Center	862-5204	Reading Room	Offsite	Offsite	
US	862-5212	Techs	Ultrasound	Duke Raleigh Outpatient Imaging Center	
CT	307-0013	Techs	CT	Macon Pond	
Mammo	307-0082	Techs	Radiographs	Macon Pond	
Macon Pond	307-0091	Reading Room	Offsite	Offsite	
US	307-0007	Techs	Ultrasound	Macon Pond	
Main	954-3141	Other	Duke Raleigh	Ultrasound Center	
Mary	954-3622	Other	Duke Raleigh	Ultrasound Center	
Vascular work area	954-3712	Other	Duke Raleigh	Ultrasound Center	
North + DMP	684-7285	Other	Duke	File Room	
South 2nd fl (mammo)	684-7610	Other	Duke	File Room	
Cancer Center	684-7625	Other	Duke	File Room	
South basement	684-7860	Other	Duke	File Room	
Peds	684-7341	Other	Duke	File Room	
Warehouse	383-3713	Other	Duke	File Room	
Outside Interpretation	684-7274	Other	Duke	File Room	
Candie	684-7293	Other	Duke	Duke	
operator	411	Other	Duke	Duke	
Duke info	684-8111	Other	Duke	Duke	
Page operator	113	Other	Duke	Duke	
Code Blue	115	Other	Duke	Duke	
Front desk @ DMP	684-2711	Other	Duke	Duke	
Front desk @ DN	684-7200	Other	Duke	Duke	
Centralized scheduling	684-7999	Other	Duke	Duke	
Routine schedule	684-7640	Other	Duke	Duke	
Diagnostic control desk	684-7313, 7312	Other	Duke	Duke	
VA MOONLIGHTER	695-2447	Other	VA	VA	
Duke North central lab	613-8400	Other	Duke	Duke	
Breast MRI Aegis Rep General contact	866-735-3744	Other	Duke	Duke	
General Duke Medicine Service Desk	684-2243	Other	Duke	Duke	
Duke North MRI Main	684-7254	Techs	MR	Duke North MR	
Duke North MR1 1.5T Siemens	684-7262	Techs	MR	Duke North MR	
Duke North MR2 3T Siemens	684-7291	Techs	MR	Duke North MR	
Duke North MR3 3T GE	684-7301	Techs	MR	Duke North MR	
MR Lenox Baker MRI	684-1504, 684-1505	Techs	MR	Offsite	
MR Page Road	684-1502	Techs	MR	Offsite	
MR Southpoint scanner	572-2080	Techs	MR	Offsite	
Senior Call Phone	681-4422	Reading Room	Call Phones	Call Phones	
ER/Box Phone	681-4475	Reading Room	Call Phones	Call Phones	
Junior Call Phone	681-4400	Reading Room	Call Phones	Call Phones	
Late neuro	684-7213 (RR) / 681-4422 (after 5pm weekdays)	Reading Room	Call Phones	Call Phones	
Neuro MR fellow	684-7564	Reading Room	Call Phones	Call Phones	
Late body	684-7224	Reading Room	Call Phones	Call Phones	
Vascular rad pager	970-7930	Reading Room	Call Phones	Call Phones	
3D lab	684-8909	Other	Duke	Duke	
CT General Anesthesia Coordination	684-7719	Techs	CT	Duke North CT	
CT south	684-7960	Techs	CT	Duke South CT	
CT Coordinator Cancer Center	613-2707	Techs	CT	Cancer Center CT	
CT Southpoint CT	572-2088	Techs	CT	Offsite	
Neuro CT	684-7315	Techs	CT	Duke North CT	
DRAH CT flow coordinator (Julie Royster)	954-4659	Techs	CT	Duke Raleigh	
DRAH CT manager (Dale Lake)	954-3234	Techs	CT	Duke Raleigh	
PET	684-7714	Techs	Nucs	Cancer Center Nucs	
Nuc Med Scheduling	684-7220	Techs	Nucs	DMP Nucs	
Nuc Med (in house pgr)	970-7951	Techs	Nucs	DMP Nucs	
Nuc Med (off-hours pager)	970-0720	Techs	Nucs	DMP Nucs	
Nuc Tech Area (When is X scan going to be done)	684-7435/684-1700/613-2086	Techs	Nucs	DMP Nucs	
Nucs Tech Cancer Center	613-2766	Techs	Nucs	Cancer Center Nucs	
Overnight Nucs Tech (Main control room)	684-7702	Techs	Nucs	DMP Nucs	
Ultrasound	684-7249	Techs	Ultrasound	Duke North Ultrasound	
U/S tech area	684-7431	Techs	Ultrasound	Duke North Ultrasound	
Chest pager	970-2365	Other	Duke	Duke	
Vascular scheduling	684-7315	Techs	IR	IR	
Vascular tech/nsg	684-7318,7454	Techs	IR	IR	
IR coordinator	684-7281	Techs	IR	IR	
Vascular Lab (ABI, etc.)	684-1474	Other	Duke	Duke	
Routine proc	684-7313	Other	Duke	Duke	
Trudy (worklist issues)	613-8330	Other	Duke	Duke	
GI	684-7257 (also for LP)	Techs	GI	GI	
Main Radiology	684-7312	Other	Duke	Duke	
Page Rd Ortho	660-6442	Techs	Offsite	Offsite	
Duke Orthopaedics	684-7630	Techs	Offsite	Offsite	
Portables	684-7430	Techs	Radiographs	Radiographs	
Peds	684-7302	Techs	Radiographs	Radiographs	
Peds recovery	684-7340	Techs	IR	IR	
Recovery room	684-7454	Techs	IR	IR	
Duke South XR	684-7640	Techs	Radiographs	Radiographs	DUKE CLINIC 1F DIAGNOSTIC
DMP XR / Portables	385-1332	Techs	Radiographs	Radiographs	
Cancer Center XR	613-2749	Techs	Radiographs	Radiographs	
GU	684-7697	Techs	Radiographs	Radiographs	
Mammo	684-7641	Techs	Radiographs	Radiographs	
VA Main Number	286-0411	Other	VA	VA	
Sybil (VA)	286-0411 x2188	Other	VA	VA	
VA Radiology front desk	286-0411 x6335 / 286-0411 x6995	Other	VA	VA	
VA Radiology from outside	286-6995	Other	VA	VA	
Nuc Med pager	970-3823	Techs	Nucs	VA	
CT Tech pager	970-3146	Techs	CT	VA	
Sonographer pager	970-1440	Techs	Ultrasound	VA	
Vascular Tech pager	970-4412	Techs	IR	VA	
ER	286-0411 x6304	Providers	VA	VA	
CT scan control rm	286-0411 x6611	Techs	CT	VA	
U/S area	286-0411 x6607	Techs	Ultrasound	VA	
GI hall	286-0411 x7985	Techs	GI	VA	
MRI techs	286-0411 x5818 / 5092	Techs	MR	VA	
Nuc Med desk	286-0411 x6952 / 7350	Techs	Nucs	VA	
Vascular hall	286-0411 x5028 / 7759	Techs	IR	VA	
File room	286-0411 x6361	Other	VA	VA	
Radiology nurse pgr	VA 30-1-0015	Techs	CT	VA	
Vascular nurse pgr	VA 30-1-0018	Techs	IR	VA	
Interventional recovery	5114/7080/7367	Techs	IR	VA	
Cindy Bone	286-0411 x6826	Other	VA	VA	
Dale Kuerbitz, AO	286-0411 x6606	Other	VA	VA	
Michelle – TALK login issues	286-0411 x5264	Other	VA	VA	
CPRS/PACS/other login issues	286-0411 x5812	Other	VA	VA	
Betsy (Chief Tech)	286-6928	Techs	CT	VA	
Outpt plain films	286-0411 x5262	Reading Room	VA	VA	
Inpt plain films	286-0411 x7497	Reading Room	VA	VA	
CT/Ultrasound	286-0411 x6622	Reading Room	VA	VA	
MRI resident	286-0411 x6623	Reading Room	VA	VA	
Neurorad	286-0411 x5680	Reading Room	VA	VA	
Nucs	286-0411 x7357	Reading Room	VA	VA	
